Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
9000,115295,72519,4278,45557,50875,18841,27560,20777385,73170,40477,9306,17248788,44023,26668260,21265,17031187,47054,24667538,11168,14863523,4037082
9250,122459,73111,4222,43434,45060,18128,24648,21822082,68959,46917,9390,17336767,42842,20015942,20567,17482548,43497,25304739,10328,15141550,4149960
9500,114958,72545,3829,44920,45566,18845,24145,24254972,70186,41175,9253,18076837,46570,20889289,20708,18254365,46512,26169389,11441,15572825,4274386
9750,114201,75167,3691,44462,45789,20000,24618,22591688,68142,42415,9283,18439672,44252,23271816,24562,20034518,43782,27065996,9752,16289658,4424421
10000,111515,83401,3794,43489,46568,20189,25390,23536390,67992,44183,9482,18919187,43411,21770378,24356,23904571,45028,27411003,10836,16608994,4549110
10250,129272,92145,4334,42807,101145,18856,23352,24722725,78279,44836,9306,19257200,43266,22521510,22146,19382032,44677,28227410,11861,16823366,4632917
10500,115471,75664,3700,54706,50039,21143,23640,25354681,425535,46333,9843,19747124,42571,23087261,23759,19765594,55768,28772407,11481,17300247,4755121
10750,115535,77328,4281,48152,47096,17798,23011,27089753,74220,46524,9910,20655450,42832,23929807,25921,20931626,49184,29844913,10978,18708596,4800224
11000,124810,79635,4236,43926,47593,16524,21958,26955008,68238,42622,9826,21140001,43337,24720516,24518,21287068,46781,30907353,11795,18378590,5426052
11250,123579,80863,3740,45415,48474,19881,23600,27089225,65565,42653,9854,21480458,43357,29476027,25142,21481218,53227,34380412,11124,19002605,5169589
11500,116764,101267,4080,47557,47342,33204,23409,26799768,66505,43537,10795,21418022,50765,25779708,26090,21733073,58485,34890640,11523,19181318,5228600
11750,119970,83199,4288,51073,47229,42719,24728,27680315,65962,43806,10208,22143545,45936,26438030,24239,23297725,58240,39540933,9940,19437978,5390769
12000,135290,81203,3752,48588,48555,39159,23622,27924517,65461,45025,10720,22656554,46468,26815925,23405,25038389,55050,41319794,10262,20042238,5497162
12250,125642,84477,4129,49563,48123,39513,25733,28933197,75462,44160,9869,22912495,44739,27167568,25131,23883631,58521,55891232,13015,20334510,5598678
12500,123138,86264,4261,46252,77414,28608,26393,29240465,69179,44891,10005,26160198,44543,28229035,22594,24359994,68319,59132436,10911,21233226,5753883
12750,118009,104481,3703,47501,50761,19504,25761,30452108,70868,48243,10222,24183370,43893,28435008,26025,24416873,52738,48897899,12030,21386556,5841307
13000,170595,90076,4590,50869,50637,16978,25365,30793488,68326,44484,10762,27417879,43526,29050457,35078,25191580,54964,40319769,10037,21816761,5977730
13250,132437,88411,3932,49767,48552,16951,26518,31031203,63420,46442,9924,30764465,43911,30058173,23229,25683160,95774,37711510,12893,22332786,6155859
13500,192816,92078,3659,46622,48326,18131,32775,37920694,101934,44397,10338,25294053,41999,30517705,24584,26140901,44758,38265961,11664,23043554,6491531
13750,136823,136725,4723,45801,49970,15664,23805,33438580,78302,45118,10406,26843166,53791,30511397,24785,27738040,45998,40025883,11753,24195885,6348787
14000,130200,162983,3808,45710,48611,15259,25910,33123428,69570,47737,9739,29390537,49462,31066482,26879,27086983,56641,39407080,10660,23698521,6499919
14250,128561,84779,3661,45616,61988,15985,24477,33615887,67859,48441,9916,28131834,45430,31610888,25920,27700941,44849,41878476,10968,23975155,6548213
14500,149820,87516,3871,44904,55090,18286,25924,34704450,73434,48621,10240,28387879,44650,32112239,27059,28226241,44039,41923268,10749,24297227,6686189
14750,132706,92557,3753,45209,53453,16118,25932,37344274,72287,52379,10076,29072970,45568,32506417,28000,28975165,44565,43302654,12910,26026844,6971368
15000,128519,100347,3854,52745,51083,21740,24944,35573206,70541,52912,10706,29266011,44810,33367848,25856,28965435,43061,45901886,11011,25233837,8665584
15250,144738,85071,4297,48130,46961,15242,27397,36383510,84317,46698,10688,29050365,44560,34681420,24096,30147848,44091,52070711,12377,25767452,8311233
15500,133375,83757,3766,45080,49853,16690,25187,36399940,76361,47717,10322,30044370,46541,34410155,23962,29600661,52150,54631145,11518,26422281,8206402
15750,129250,85957,3793,45863,47987,16207,23996,38202286,73430,46551,10338,30742940,56468,35035930,24549,30196639,43816,50007213,10071,26439160,7547138
16000,140995,102829,3716,43824,48362,16121,24803,38213957,72301,49441,10590,31353719,50332,36013177,24103,30208056,42775,47176265,9743,27217000,7701162
16250,139609,85038,4121,45257,58032,15847,27027,38329395,74534,51446,10441,55368671,44856,36543842,25263,30817047,44738,45431173,10266,27729765,7856227
16500,130005,84817,4227,44430,50580,15220,27196,39694962,74754,53248,10467,33122778,46751,36887055,26457,31348815,626851,46700752,10950,28899976,7757153
16750,132320,85067,4130,41645,48321,17479,29546,40178405,85840,52895,10584,33487336,45033,37285941,23406,32791823,43347,99838230,10059,28421023,8303944
17000,157015,89750,4675,42991,87651,17595,24960,41264024,74298,59938,10191,34381572,46399,37940016,25146,33448669,43240,125232666,10204,34423034,7860514
17250,140124,105815,4579,53146,50161,18349,26978,41584806,74316,51436,10607,38591949,46740,38367035,26284,35869336,45589,51448395,10179,29479302,8007900
17500,141007,86314,4176,46525,52952,18104,23933,41761630,74353,51177,10198,34712386,851046,38789519,24824,35143563,44324,53452362,12038,29733301,8315285
17750,152934,87047,4046,45242,50036,19687,25663,42696241,75520,51954,10201,34576541,60380,40103867,24903,34694964,42264,54726685,11937,38122894,8305344
18000,136764,88189,4029,45342,60840,18604,26263,63587064,83438,55761,10594,34535070,58140,40693898,24784,34374484,55574,60139387,11291,31274987,8694673
18250,135951,92856,4310,44416,52390,17535,29719,47610321,80819,57924,10682,36015818,57488,40833156,29763,34384577,45089,58692576,11261,31146916,8802223
18500,152178,124776,4090,43999,52803,19739,25996,45473939,76230,54380,10202,35668138,66641,44156745,26471,35714711,46425,57430709,11743,31813036,8673356
18750,143689,86090,4604,43598,52900,22041,24643,45217163,76070,65911,10844,37093091,57569,48263695,26769,40395991,46303,59882511,11615,32861071,9031287
19000,137720,86813,4389,43273,50107,16735,24090,45262569,74810,56037,10501,37200888,54053,43681435,26897,36572214,51708,58810046,11164,33030335,8857635
19250,139411,90750,4440,43003,51980,24773,25135,48393465,74384,60058,10257,39189941,55813,44011020,26757,36748669,44855,60018450,10590,33561467,8771728
19500,147659,110323,4331,53512,69650,15099,25868,48239518,101843,58228,10137,41006167,52489,43997182,34816,37051791,45961,68269593,18038,34229629,9046105
19750,141626,90951,4159,47426,56024,16813,24912,56898810,81052,59274,10258,39353733,57184,44518774,25377,38385900,45961,119419967,9246,34386989,9402818
20000,213234,91245,4148,45198,97795,16216,26096,49585257,78793,59920,10064,39721947,51828,47280984,27250,39251399,44084,61397116,10997,37309317,9109109
20250,168914,90960,3895,44593,58020,18919,24005,50883065,78406,64902,9798,44988335,66549,48094043,24792,38482212,62386,61648609,9605,35889391,9272659
20500,155173,92642,3737,41988,51277,21260,25088,51738908,78051,73963,10082,46866349,56379,49142180,23583,39892260,46169,70435665,10640,35271490,9386902
20750,174067,111236,4378,44518,50613,20752,22961,53392057,130987,65079,10426,42948588,57717,49349934,24960,41402979,45817,62893673,9369,36109816,9634220
21000,157553,94964,3718,43284,47080,18581,24069,53486910,1091091,160416,7215,46239282,54314,49294168,23522,41960932,48378,65449167,10916,36811438,9786095
21250,158282,92202,3798,42938,46016,20360,25560,58324218,65660,4253593,7275,44381572,53786,48496228,24461,46004581,48915,64790963,10175,37083653,9889451
