Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
43000,172079,142167,3777,42017,52805,20761,31235,167046172,82134,53685,6818,120322413,58341,136966606,21605,100884489,42967,138554577,10261,78272710,24049778
43250,171301,144069,3823,43174,6415165,17893,29975,152177932,80678,56091,6890,116976431,56146,136884758,23380,100591376,61628,138769909,9498,191590185,21661442
43500,414780,154616,3778,42947,83467,22138,30967,189692628,84071,61957,6826,112679348,51527,123752394,20913,104427580,44193,142865568,10577,86886420,25937756
43750,183650,145901,3833,95122,75356,15603,26393,164221924,76522,52212,6970,125916720,51205,123575108,23564,103898561,58134,137302963,10169,137285719,24881934
44000,180422,145526,3886,45308,66059,17765,25242,245157600,88571,54185,7014,115273231,49138,121917722,22973,119685090,48141,138796302,10706,181933734,25752461
44250,169046,159298,4413,43192,88916,16878,32289,222465781,80671,53988,6958,130011537,48731,114322720,24607,104605673,46640,160932328,10039,134331141,32792180
44500,186680,137942,4275,54207,64211,19209,21922,201948165,82279,52774,6999,121422391,50498,135173910,23699,104699967,45756,149192310,9775,211794832,22781762
44750,173073,140940,3859,44115,65783,16755,23629,184174536,83502,53718,7007,120489470,48914,117414548,24221,106366994,46471,143731388,10731,158757504,22595173
45000,162082,156182,3843,42104,57297,18399,22642,179459314,76523,54569,6829,121818350,52358,117804902,20592,115754535,44393,141208738,10305,145370729,23542027
45250,184893,134124,3781,40837,53121,17669,22071,217036116,85902,63057,6858,131884657,49085,125944820,22469,120746812,88765,145512990,10163,163573301,22967017
45500,171711,141628,3867,41494,56915,15970,21899,192685426,85000,55750,6833,278526596,50821,158971205,21378,107630551,47231,145264295,9600,157968577,23746642
45750,179002,149838,4317,39571,92018,17413,31969,186852285,79867,53940,7147,227877214,49798,118848813,24283,111413198,67501,146371814,10125,291313721,22861347
46000,177110,135067,4125,41464,63730,17505,34422,197797017,78124,57492,6819,165156921,49084,142980439,25905,116954086,49446,151805087,12229,177931787,25672073
46250,170857,144176,3893,41505,87183,62689,30006,188432643,91574,53973,6983,195924303,50387,123606441,40322,119029738,44643,155418326,10647,100469593,24226033
46500,179598,156304,3853,41667,57129,16925,21907,234959555,139011,57055,7008,373052488,48148,125219021,23994,111949817,42955,145846766,10488,100601721,24501408
46750,167533,176956,4374,41397,57918,17651,21884,224626708,101015,53883,6958,444369883,48420,121575536,23257,123712704,43909,152430792,10136,93552855,24511148
47000,168826,143393,3845,54458,53303,18890,20542,217607594,91241,60130,6904,128674054,60572,139476491,21837,122222972,42794,151970967,9831,90773256,27880420
47250,228762,143959,4436,43695,64700,20155,19985,208913473,100437,66808,7499,210320767,54210,128622935,22289,113877484,44849,154410002,9944,111810268,25330512
47500,171696,144627,3777,40605,53161,25302,23123,237623449,93598,56026,6873,130786965,51710,137120819,22948,118023356,42660,152434547,10168,105471755,26512860
47750,183355,144742,3756,41622,52983,18421,21548,221409233,107964,54183,7032,203427946,49635,134881030,24139,118491896,57266,161154554,58605,94189112,25159456
48000,170922,159060,4432,39965,51732,18692,28412,247600833,92757,52855,7033,295573506,50564,140157561,23582,137572363,52256,155513446,9712,92245266,25529518
48250,167793,141176,4154,40067,52481,18993,26923,226799767,99927,57130,7068,144085342,53108,138950471,24767,128051724,58374,156118782,16883,87808398,28463366
48500,187730,143472,4603,40968,50246,18856,21509,227731212,97310,55252,6997,186436441,50301,128403750,24666,135373974,46206,182010765,11214,88004142,26264791
48750,164969,158990,4059,39025,46777,19456,32043,249471750,106420,57266,7279,252206921,54449,138983608,23511,127587394,42330,154363453,10819,88746824,28692925
49000,179377,142044,4465,39108,49214,20323,32339,269586135,111459,61743,7050,153364930,56286,139680312,24436,140255099,46089,152735668,10564,93046149,26501859
49250,169342,145608,4085,47965,50441,20961,22267,236030891,106862,52777,7342,169574434,60952,138374107,25378,147499354,43887,167156289,10443,88432801,29394377
49500,164294,155890,4061,41308,60530,17805,20975,244151175,105027,52675,7027,229651106,52141,143572968,33435,128875624,41144,166664453,10441,93278047,26629837
49750,180563,146162,4196,40660,55797,18258,26203,352044234,111057,53861,7427,177402412,50419,156779872,22035,124737456,43330,167104538,11396,90938767,32552774
50000,170440,149482,3962,39940,52853,18131,21250,276722400,106128,51275,7319,216453620,50048,158474669,22999,148715808,61148,162035934,11321,96313854,29403377
50250,165364,162130,4523,39918,49616,19862,20903,248966860,103570,53323,7403,284023089,57149,149815176,21848,129201174,52051,158569273,10494,91464004,27811203
50500,245946,149791,4164,42419,51391,17881,26230,301120700,109241,58283,7424,180341778,47180,165700135,25244,138054351,45817,174453796,10943,92256063,27560901
50750,164297,151305,4152,39530,50471,20254,26510,262629365,116589,89059,7301,190901758,59178,157762493,19930,134951033,64306,178214605,10408,93544063,29969101
51000,183352,163698,4515,39260,48214,18247,22209,274242268,102476,55187,7408,158377215,51296,188899628,22809,135772200,54834,169769498,10074,97342634,28896447
51250,168822,156666,4156,40191,86672,18551,23359,300828735,108118,56030,7435,152546277,51427,154651975,77154,139762932,52946,173835568,9986,95319690,32419381
51500,166763,152561,4059,38938,52750,19632,28644,296129613,102533,51738,7378,238149059,49382,141820192,22097,130968404,51240,214049452,10662,95168408,29514121
51750,185251,169348,4660,52978,55031,18332,20788,287634912,100028,56781,7081,162460115,50083,151153721,23455,144651310,69250,173467305,12115,97055824,29176188
52000,170201,154216,4346,42247,52392,16354,20210,265385332,99733,54827,7393,192941410,50212,150114849,21199,149863072,60920,169675589,9895,97672990,29742658
52250,180287,154817,4253,40236,49853,17423,21702,564629311,96837,57149,6898,203023338,48665,175521546,21612,143394425,51849,214834752,10569,94751853,29637646
52500,184775,208971,4090,41196,50881,16772,21270,432724819,102190,65977,7469,162535647,49150,180782174,24273,151118601,47901,177976882,10058,100714221,30012408
52750,170095,154260,4612,38794,46347,19158,21491,320998331,99580,54837,7291,186223854,102069,165672776,22481,141075412,44211,195891512,10579,95454071,33231840
53000,206785,169336,4775,40097,62080,17168,20734,329289141,111592,56560,7079,189602452,57395,154119210,22094,142991620,44144,174829036,9856,100351956,28607052
53250,170483,157598,4067,38198,56083,18030,19989,322588409,101048,53416,7066,202992038,50393,156878828,20072,139432044,52431,175485125,11097,97030495,38239661
53500,167339,160616,4260,38290,51329,19760,22976,326662967,100973,57867,6972,170996927,49771,170631905,22928,161497395,42900,182379728,9659,98482688,36647283
53750,199722,170749,4283,39254,53065,20431,23651,379112224,103318,54801,7061,191288275,50388,163885406,23777,231659297,57029,181695341,11091,109357293,30745136
54000,173748,157536,4218,50093,50256,18958,22224,381026386,109195,56318,7325,175659042,51006,153297636,23148,659783770,45130,179501539,10484,99165353,31849275
54250,185979,158172,4131,39947,52881,19215,27332,359925063,106660,59352,6954,205879046,47933,191366980,21572,822016400,42376,187397925,10158,101401210,29942216
54500,171640,167614,4723,40337,48470,19079,22128,347323746,121840,55460,7400,249420484,56161,157478226,23996,789781083,93735,179723041,9695,101567453,33209210
54750,169148,157989,4239,40108,49991,21141,19683,325771978,113759,53957,6962,200482926,56263,172770983,23865,740771884,44283,183252230,11032,100204585,33463470
55000,195321,164242,4169,38624,64533,19656,21007,379242022,180281,57150,7024,186171434,51905,162601744,23346,656597744,44092,187709594,9959,106398359,32282448
55250,174479,160607,4482,38998,52628,18780,23182,394595005,108822,54939,7452,193765438,49997,180791031,24563,739937184,43048,182886852,10338,100722081,32463912
55500,187181,153816,4167,38559,53197,27564,23416,360789156,116202,54963,7069,200249877,51222,164942832,22999,701461376,42536,184054120,9920,104073356,34352907
55750,172406,172941,4566,38554,49011,18506,24100,398576228,113434,58874,7074,200502605,50176,190815340,24186,625489670,62573,184662870,10768,105661584,38611714
56000,171614,152505,4043,39529,49229,20621,27876,380444422,137972,62346,7052,204669443,49344,165977364,31342,628363755,44827,187444518,10873,103811805,40929850
56250,193202,157630,4061,42266,47354,19585,26026,383546971,107866,57258,6885,198303714,49305,180676347,21765,746048130,45387,191561698,9720,110923247,39073137
56500,172083,173543,3837,51825,46486,20773,24738,377250673,116857,58691,7687,204324286,83964,194287273,22680,738460418,42813,190202147,10819,112887763,34052969
56750,186303,157792,4492,42098,48382,19967,49442,386131918,127121,59056,6964,199121656,53753,185219855,23140,712639695,44163,194074841,10782,111702145,37448911
57000,179175,164410,4051,38841,75050,18503,25103,468253223,117926,57507,7397,220222364,49922,191342945,22777,673023412,41059,188777878,9154,112766898,34137576
57250,173362,167017,4129,38135,58466,16731,29876,386843078,111662,56321,6877,204078425,48673,182083494,22665,717957035,42692,193273355,9992,114477527,33461962
57500,191119,161109,4111,38233,51838,16110,24772,409292133,110656,56690,6880,198379801,46796,190352762,21428,724902819,42866,200167196,11004,106797875,38725118
57750,213520,158992,4330,38690,53847,16585,22166,428913157,126701,59192,6996,205523218,48644,191237642,22799,659792944,41916,211179228,10904,109389101,39724173
58000,175754,179747,4157,39577,51051,15659,22363,407441507,110179,66158,6967,267541731,48478,196488993,22649,683266965,56465,205763572,9192,109231970,36665625
58250,181237,196988,4074,37926,49770,16603,22525,423845689,108796,53353,6910,279986416,49062,202841894,23274,536018241,52495,200132796,10750,109104223,35304821
58500,183706,182393,4126,37666,46652,17344,22264,404472867,103685,56487,7372,211207395,49963,204569751,23280,521485448,43351,197184236,9162,113430442,42926746
58750,247051,160146,4118,38160,57281,17539,23051,448969263,100607,53420,6901,253107919,51360,194326973,24071,486397878,42619,203510423,10047,114350477,36113159
59000,185459,161689,4059,50525,55871,18181,20997,443054330,110663,55626,6986,214190332,50908,206872418,23030,413605937,44752,198382269,11192,113668635,37800009
59250,188916,170891,4301,39293,50109,19990,21187,454390248,100449,57923,6880,229525389,51675,257982889,23462,415570323,40598,203677107,10639,114312035,40526738
59500,181311,160034,4139,38620,50080,18215,22088,448101273,102553,60630,6922,281847594,48819,216421061,24481,612009777,41087,204937781,10400,119959391,38819652
59750,186109,166965,4539,38722,48023,18563,20334,516330199,102358,66504,6881,221654323,48631,216649913,23183,584865724,43045,205628017,11108,113798122,43862422
60000,205111,172659,4638,39264,51410,17201,25784,518960858,116907,56301,6883,243162219,49197,204722454,24741,603447275,42905,218118664,11106,116988726,45105687
60250,190493,164490,4416,38447,49252,16319,24431,473097527,104504,61698,7078,258394969,55315,219107605,22980,490790463,58049,216481048,9224,117990852,37242186
60500,214224,176651,4313,56186,45815,18424,85008,499961406,97274,56855,7062,238630186,51569,203321143,23831,755277075,46459,225013596,12135,120080699,43066665
60750,208176,164532,4142,61219,56311,17183,22635,486408143,98496,57195,6879,215996930,49561,221983524,22652,716261318,52343,210620710,10650,126335967,39194989
61000,219073,165886,4202,48368,51830,18466,21132,482729657,106867,62432,7014,238931623,50810,200215313,23930,630556524,48255,204735916,11078,124070514,37576646
61250,201481,178821,4527,48940,52276,15537,19612,491841734,99333,59837,7327,249026026,48232,231738790,22316,674591843,48194,206569149,10068,128082771,43846665
61500,208993,164688,4208,47785,2885099,16087,20899,492899251,101808,65604,7171,239276982,49238,237611593,22884,556529222,48374,214213056,9709,129636720,38407427
61750,201578,172280,4229,46536,106150,17747,23155,526795584,101998,55972,6967,226999364,48156,223556758,22740,453936205,49926,225328100,9604,128569592,46513481
62000,198746,174956,4562,58424,130639,17519,21870,506757662,96622,60637,6867,246756338,48162,243703924,22663,343236404,111530,213084579,11009,129231847,44316908
62250,249315,169501,4139,47298,150590,16791,21082,567492914,102800,61406,7003,257722521,53086,222699767,21578,381252363,54387,226197867,9311,130616082,46769198
62500,200225,173146,4574,46577,112360,16992,21231,550066788,101159,61255,7098,243358261,54508,232106456,22898,693672770,47115,210603300,9936,128457871,41198543
62750,218237,174183,4629,45089,88456,18535,20315,549000742,99490,62559,7014,256606520,52923,219308240,23851,746526315,50974,212172282,11159,137592503,42818638
63000,196613,176360,4206,45988,66566,18550,22184,562834549,102116,65473,6957,258734108,51685,260345218,31927,765224684,47071,212991615,11602,137746926,43178522
63250,210796,184123,4249,46123,61621,18554,22317,540476287,113000,71481,6952,286352431,52657,238700462,22659,669858573,55683,215625183,11284,133828036,40917851
63500,196575,208312,4201,44638,62842,18048,22992,553902775,99067,65275,7298,246216395,53810,266834099,21543,615632908,47696,224072112,11922,141484701,43504131
63750,205537,188170,4380,46647,70683,18262,25287,567790613,97317,63924,7354,273737865,53662,302744755,23797,639374413,46186,232412357,10231,137646250,45807851
64000,194966,166143,4423,44154,63114,25515,31433,565733936,97504,67715,7306,269432510,53292,235559862,23841,661585134,57813,229465793,12709,135867411,44446506
64250,192262,172258,3968,46499,62058,17960,21987,556471838,106606,63120,6942,268764092,58349,239603329,23473,576051544,44630,217526640,11629,147453878,47234147
64500,207016,179939,4318,46941,102618,18337,23238,662987314,93744,69444,6875,278151273,50919,303466189,22746,663282626,44305,235393498,12556,145492278,44681352
64750,189973,172155,3810,44213,61135,17824,33024,600015016,90099,96300,7079,274533360,53758,264382103,23328,552657026,44929,240931696,11921,145144017,47450016
65000,207299,183448,3875,44953,60973,18033,22943,583979200,94783,67551,6889,309628029,56298,264302396,22919,558727973,43936,224459270,13171,141206274,43408036
65250,193141,165582,4381,45072,69891,17837,25699,587875214,92363,64668,6903,317214846,53508,252824111,24474,631746997,44156,245192601,14928,147177181,48433039
65500,200117,171112,4389,45662,74863,16916,27759,602931514,110911,67398,7142,306690740,1779428,263150440,24564,640550919,46786,223978769,11003,144569900,49368773
65750,191365,186605,4088,41976,65877,16312,41272,625456815,104211,65869,6884,269199021,70588,338550871,25598,673131279,2492489,230937352,9355,144474094,54203034
66000,192313,179024,4206,41721,69060,16385,44870,606897752,98073,68936,7043,297601547,73431,279421489,22959,710930893,50501,229247177,9311,148098853,47379298
66250,205677,185433,4725,43383,68034,17982,47821,634704085,94297,74578,7019,295901816,58082,321105888,32502,698954035,55254,230724282,10442,159267911,54756205
66500,188070,169755,4324,46739,66232,15653,52803,666713204,107798,65836,6993,280139217,56329,271845243,23687,719135043,54361,241353576,11012,156113882,48508564
66750,199597,175358,4603,44307,77855,13399,39036,627187674,96733,65347,7070,317950831,65019,251352928,22971,510636802,52533,231053140,9359,158516701,58603660
67000,231938,189757,4380,42405,67527,13875,38377,642615837,100536,64795,6874,274904678,58096,309430115,23854,608693978,55587,239035667,10421,150004218,56427902
67250,200684,178042,4275,43984,66548,13264,38171,722671578,181088,67787,7085,315018170,57181,278181120,23407,524151335,47606,239464318,8793,153146452,54696184
67500,192090,195596,4260,42504,72275,13874,35200,616273720,111046,67001,7087,318043043,56102,280324294,24127,471686032,1557927,234628122,9880,182130380,48461978
67750,186072,180618,4378,42082,67764,14747,34600,656730304,98782,78200,7101,302267806,56470,301478645,23475,551980778,54542,239403709,10725,156351009,52762926
68000,200001,174183,4726,43114,62458,15608,28468,670649452,94583,63887,6944,348885083,57315,280556686,24595,470014006,67085,266170080,10521,161449928,56842020
68250,184872,187990,4384,43113,231162,15265,26767,677074768,95756,66175,6974,318426786,56048,311818363,22707,553604867,55181,243669992,11067,155792022,49809986
68500,205992,212695,3807,41623,84301,20770,23671,714512527,100538,68352,6831,310333045,53185,295795570,23467,495367236,49911,256472546,9047,168855289,50911421
68750,194443,185408,3770,46031,80491,14733,25509,694995280,98500,67651,6875,354339787,59409,427428953,24622,607168532,52806,251307774,9328,160564803,56541269
69000,189725,165897,3930,44817,87295,19048,89565,654450008,101532,68051,6844,394735645,56064,331451845,27303,540502828,49216,265116332,9918,160983417,53575774
69250,206839,179304,3905,71231,105362,21148,22226,678841121,100800,81152,6975,311956072,56979,331716282,28104,608367487,50793,254475571,10778,163288959,52274530
69500,186394,180997,3970,84759,83125,18624,22819,705056694,98975,67004,6944,342910778,55732,320985060,38421,475972487,58658,249974445,10562,171679805,53109575
69750,202796,171598,4238,81608,62686,18384,21609,749857966,105939,70430,6898,330600368,52759,305035290,24885,470874292,57356,246714180,10012,169153939,55990524
70000,191204,188082,3927,158604,61935,20258,23156,676258621,99616,68070,6906,323061779,53345,293301908,25383,545974225,92497,251956600,10696,175617030,57193652
70250,205239,177957,3821,100027,54152,19777,23542,751267579,102118,68653,6866,357396210,53925,353390899,25778,543447413,49451,262521299,9369,166040209,54899520
70500,189363,179600,3764,697330,53265,21164,27507,671283693,107858,68415,6878,377815524,66035,325799229,25253,383255205,50187,245416434,9558,168403284,64735271
70750,182121,184001,3856,101198,54651,20657,23356,731503797,104368,79690,6844,312485051,68828,319198877,24105,506414233,46589,248089890,10925,174843885,62393805
71000,199930,174322,3945,78047,56697,19351,25272,697348250,95350,68107,7015,360273710,52789,362095852,24687,563722944,47469,259019845,16560,174516017,66524170
71250,188882,192536,4416,70315,52546,20208,23856,806053876,97561,71527,6921,376482476,53804,331213541,24567,526895090,45969,262553534,10515,176971593,71883471
71500,203177,178697,3889,62205,52239,19885,29888,799513562,137527,68207,6948,526870224,53221,326971993,23465,360909992,45437,257254188,10017,168618662,67406348
71750,223204,179764,3824,61064,52654,19653,32003,747962685,109001,68386,9384,614882182,52197,386889907,24537,706529670,4297303,267720440,9518,190008328,62741252
72000,221334,182697,3889,67607,50919,20523,23691,786983906,124187,69131,9559,416206692,52539,387263448,27178,404510240,82956,259340814,10511,173166533,60638073
72250,187408,171253,3842,60469,53927,19834,32520,763315454,102344,78772,9595,458419361,55277,357508121,29123,610975324,126175,284245632,10027,223029118,65461872
72500,187122,185046,4424,65358,49370,18511,23408,732743502,93429,65029,9444,355504516,54615,401181818,27772,500422268,82840,259215833,9405,186597548,60188453
72750,205372,169258,4366,67608,65242,18758,20414,740697359,103377,69619,9521,385241513,53462,357958592,24652,383988208,73061,255609695,11515,186448436,66007425
73000,181268,186391,4255,60976,54211,18490,22446,982700405,102147,68071,9562,375468885,50345,385709744,26183,353940503,60690,261816961,9066,182959876,65624204
73250,205131,187760,3977,54857,50519,19864,20034,887146389,98485,69990,9768,362703112,52444,373774866,23495,554566062,71656,262405598,9261,221365023,60442410
73500,186149,211968,3924,52271,50918,18138,20913,916605319,101223,67928,9610,374103314,52544,337157175,25427,535390299,56303,268088882,10830,260426237,58574097
73750,192356,190176,4334,61276,48892,19532,21853,967959182,94996,94050,9419,376307201,53801,406874334,25672,665606388,60885,276329704,9691,231406308,59989120
74000,194620,178433,4366,58706,53969,17621,22682,933691435,107635,69902,9335,391054297,54437,363034930,25602,649395553,64737,269125790,10697,186867046,67514339
74250,187846,182333,3822,56383,55612,16726,22069,958348538,94896,71299,9430,428913466,55672,388103861,26332,586806219,54887,271503679,10427,207881881,70394913
74500,201456,189723,3908,56956,75180,17245,21159,1068423964,99763,68002,9759,373185970,62590,381483203,26099,780138791,58614,275152435,10190,211291212,62373099
74750,189903,180953,3912,50613,74268,17591,22846,1010419950,95659,71826,9365,491541249,55759,391893242,25124,756420388,50468,275124483,9973,194576227,61735483
75000,199001,195535,3831,55928,75163,18975,21925,952903425,107041,112945,9448,366564713,50268,410799225,26818,563834674,50085,275055749,11743,206792238,74460277
75250,186761,179134,3743,153994,90556,18852,22471,891149925,101072,67194,9380,456688744,136063,424896764,27022,528580399,46701,274649790,10477,214336628,64272138
75500,185130,191914,3894,57402,68153,19145,37234,816471283,98490,69036,9881,468644096,60963,405656373,28655,445089936,49946,270267858,10702,193919650,68480284
75750,205259,182836,4723,48864,62459,18628,21810,794617212,93508,71756,10453,412659378,57033,512962220,29036,526038230,298659,284056281,9901,195258286,67137609
76000,189843,181048,4240,48217,78193,20143,21807,802797144,102454,70969,10140,425251120,3910479,384271887,28774,443044064,51847,295099567,10342,206107008,66156955
76250,205079,208992,4369,46791,61724,20014,20371,805019444,106910,75503,10443,416588832,93801,397281368,303848,582222069,49992,311426592,11055,221647743,63374352
76500,229224,922214,3874,45569,59355,20628,22119,802098159,97597,103705,10011,446313593,114832,399442617,30168,470256423,46921,317553407,10339,202815697,65958290
76750,218871,179823,4320,44996,62769,27512,21456,823161253,94538,74549,10420,426195641,89011,429817284,37118,489534956,51636,312891850,16743,204246678,77831955
77000,200620,184091,4011,43933,62803,21103,20588,800250428,98044,229021,10295,433430013,86032,428786193,42096,665399274,58580,307715166,9899,212609213,69747935
77250,209272,193347,3937,44110,62924,18113,20577,812973095,102086,70811,10398,476236987,95462,435975619,37480,523590710,48017,297690466,12348,212770509,71747405
77500,207225,217984,3915,58976,86658,19170,21247,827226961,99589,82452,10116,489114001,65389,439528077,43302,463409910,48191,307253037,10322,212992282,70192254
77750,204437,204456,4392,45720,151878,19241,20592,851600642,99956,70461,10025,490889947,65420,425814873,40642,493163111,46043,586530745,9797,202056106,74648033
78000,237662,186266,3976,46159,98019,20770,20475,832422940,98314,71378,10150,478952960,63374,483052102,80025,532380874,47073,405542271,11102,212827771,73835550
78250,213317,206377,4022,44152,65602,19001,21740,851176672,97031,70468,10310,554654131,59632,462936237,46008,575186203,44724,349832105,9208,209503214,71671528
78500,229283,189889,3961,42305,58406,19998,18925,859918616,102387,72440,10294,460853868,56386,551367568,55392,524322759,44087,301858099,9621,208699189,74192398
78750,210985,191378,3780,44443,56679,20419,20944,835166538,98215,75373,10359,486672718,83333,430044716,32790,1855106717,62993,313186230,9957,220088903,71658974
79000,226803,196773,3791,43037,54577,22535,22003,832997717,95076,82005,10531,464838951,68486,458087482,23009,1882374141,48210,290438375,10129,217878945,76866812
79250,207967,271367,3857,41543,75978,23223,25711,863956739,93357,70908,10879,481523800,61327,460692410,23332,1826481962,45735,294621078,9276,217302160,76622822
79500,233496,192527,4013,42991,71760,24650,19689,852084638,104943,71692,10608,458126612,60640,466221015,24509,1907376569,52930,288291218,9484,229055036,79294628
79750,211116,180193,3880,55701,63427,30360,21660,869943536,109076,74502,10130,510219495,60099,482109432,23018,1259333765,44994,293278608,11343,230189363,70964394
80000,229267,416464,3881,43557,61277,22826,19922,863089133,102128,70356,10699,473934325,56173,498328493,24621,705734609,44202,294559641,10276,213189222,77071961
80250,216448,188660,4004,43265,52463,19326,22011,898548730,96618,73009,10562,511635682,64850,496108831,23449,550641205,41750,292754121,10470,255303366,104471441
80500,237746,179395,3920,43913,55873,19605,22419,884602190,98906,79230,10500,527950856,57536,494033550,23451,900928298,44263,369523428,10434,236979385,75478129
80750,262694,183687,4406,42175,53185,17577,21656,888148039,122042,71111,10864,543470490,58850,505717984,24565,484728066,41452,297434885,11131,231511426,73209975
81000,231951,192585,3871,43538,58284,19011,22176,865908584,129051,69386,10688,500855228,55681,564479089,26107,432823244,60319,303322124,11072,220429174,87929108
81250,210847,183285,4138,42682,60491,17096,21019,866608289,97746,74108,10326,524793566,55768,548083803,23551,542861979,46589,292844536,9723,291862011,85179696
81500,225191,192792,4038,40735,53187,18315,20006,885392058,92491,78482,10937,487913131,56101,506987571,22555,486883611,46729,298243131,9819,228784252,78103353
81750,211102,181203,3934,40938,54922,19413,19765,875250065,107813,84318,10555,533014583,53792,486651309,22619,506829508,51207,335121081,12309,225509455,88051701
82000,220239,235551,3975,59454,55060,17945,21860,911708865,99413,75197,10248,499183229,58399,526443471,23873,449909847,60819,320186265,9983,230739109,92301769
82250,207720,204370,3805,45708,53412,17891,21370,878377560,97566,75309,10437,599414837,56528,533571308,24984,513424284,43262,308084646,14215,228633903,80380557
82500,206606,187693,4334,45604,53368,17293,21195,898324939,94694,73190,10477,568780997,57160,506302437,23184,477237093,44332,306821565,17487,225208407,79771740
82750,215764,197713,3807,45195,63931,19338,31480,894952437,105179,71329,10724,499700958,56971,530584450,23471,612912200,44947,309473702,11032,236681618,77981554
83000,200762,187885,4147,44376,62303,18250,20261,903402174,105237,75165,10610,640635665,56520,638080991,23171,589591988,57979,338247782,10691,236669517,90157876
83250,218577,207032,3899,44992,58544,18603,18610,918680299,100453,80336,10770,586677993,54161,579215691,23626,504237323,45425,388309113,9357,234510326,80853804
83500,199924,194893,4320,44337,55083,17614,21273,935861142,93610,68811,10586,555113276,54925,599692457,24394,534837941,48578,376174551,9298,238267343,80764310
83750,224737,200851,3966,97419,55858,20977,21342,912578443,100574,68869,10789,536211098,62238,544346395,24099,517413723,53203,383595035,10329,241873815,83475377
84000,210646,210468,3956,43864,54196,25149,21334,903148648,111047,71708,10179,542928575,61552,571702383,27182,518648020,61891,341663616,10595,238196023,100627654
84250,233903,209015,4494,42544,54782,18437,20597,958431274,97530,70719,10233,582224265,61174,568356738,25773,501664994,60731,307662261,10426,236761347,84871213
84500,225363,214665,4424,42627,71106,16464,22776,924776345,101221,73250,10465,547517112,57957,539918416,30453,679906504,74631,339540875,9662,244156312,83243690
84750,243912,199545,4377,41852,67206,13386,21336,941708106,101993,78858,10611,625047552,53735,596414920,24637,547301893,69939,314274679,10870,250402576,94558836
85000,235542,223777,4700,42808,57790,12893,21016,914887467,116918,71943,10334,606049758,52060,626721538,23572,609501723,79431,334882725,11197,252238172,92111995
85250,310964,212960,4578,41670,54518,16288,22195,937163166,7725976,69574,10598,626434855,52367,628561681,22509,632085693,69919,286558575,10320,244881447,86070207
85500,239842,227740,4715,41030,55712,15830,21283,927230021,93590,70724,6992,594407319,60221,734651503,23677,618854561,54334,296534700,9695,244574299,85651222
85750,257267,214727,4276,41033,55669,16900,24491,938173043,94667,72788,6840,596266723,61479,563819983,25845,589326041,49574,296421830,9712,247835604,102370840
86000,237974,233461,4368,56155,56451,16672,20964,971109500,92437,73758,6826,636064028,61311,597662647,24170,699401597,48416,292728753,10798,285739757,97236503
86250,257181,228115,4329,45172,63418,18936,57498,946498272,83993,78102,6864,609125791,58451,628010208,24590,587688181,48527,302451989,11124,263003766,91355007
86500,235771,304587,4218,48666,58986,18846,20019,955906885,84138,73532,6818,603290723,58924,633541652,25051,630184047,58028,303439424,11739,266045075,85833181
86750,261305,231129,4175,45793,60648,19064,22100,951035885,81243,70544,6979,685691176,57110,645748756,26585,570033054,46784,292405037,10677,295000701,97654139
87000,310452,230636,4472,42280,53733,17881,19209,958679232,90328,73485,6906,661576075,57027,647872067,24467,659138218,56356,505745092,10913,330120256,100049940
87250,238667,208552,4312,41736,50853,18213,20316,964262024,82774,70511,6827,672584842,68360,695537596,26754,562021915,44902,492040958,11456,313499832,94612623
87500,249884,229718,4185,43164,52607,18134,18971,1063541065,85405,104965,6858,665632118,59611,707813701,24459,636540721,46130,315325196,9860,322010434,111448929
87750,244303,215389,4154,44672,54383,19078,20313,1000495009,80194,72520,6861,652789089,59218,678132054,23902,621290191,47667,347353722,10376,307811191,95866066
88000,271656,235498,4246,40458,51774,19877,20983,1008540591,84441,72635,6827,621172314,58502,772644173,22595,602758642,44226,310159255,10072,303457316,104737557
88250,243435,224954,3990,47037,69049,24306,18584,998048368,91634,69799,6869,657963983,55400,749894462,23743,659740118,45949,317288022,10432,316048813,90830568
88500,258433,238696,3855,43843,52459,17808,22633,1084388254,94558,74556,6810,607341568,51585,843510105,25158,675326005,54951,301208152,11501,543287014,95319111
88750,278149,225615,3837,41902,54594,14018,21939,1092470511,95714,75620,6868,674746549,51431,862402278,24182,629063943,47222,311725779,10591,353535905,91136211
89000,247419,244391,3865,75417,56875,13578,19992,987192030,93605,81226,6797,694105344,53946,860016917,24723,681746711,46266,291681149,10250,293091691,101202617
89250,254324,235268,3909,42476,163403,13502,20808,991306594,92582,72230,6791,666051840,59324,696471474,23301,677022627,47920,304103934,10255,264839534,103588735
89500,245489,247970,3943,45997,71733,14323,20667,986127047,105891,74383,6797,708187876,53861,654333641,23796,636469123,50538,346801791,9146,289347318,93840824
89750,243418,236339,3970,47998,60814,14194,31932,1006405365,91530,72081,6802,672198334,357516,735403811,26555,675359172,45000,426699493,11370,272809280,99754834
